Original,UpdatedName
Admissions/Student Recruitment & Retention Efforts,"Admissions, Student Recruitment, & Retention"
Campus Communicating Out Shared Values/Public Engagement,"Campus Values, Communications, and Public Engagement"
DEI Work Compensation/Recognition,DEI Work Compensation/Recognition
Decolonizing Curriculum,Decolonizing Curriculum
"Diversify collaborators, speakers, etc","Diversify Collaborators, Speakers, Campus Engagement"
Diversifying Faculty/Staff and Campus Leadership,"Diversifying Faculty, Campus Leadership, Staff"
Endowment/Investment/Scholarship/Fellowships for BIPOC,Endowment/Scholarship/Fellowships for BIPOC Scholars
Health and Wellbeing of BIPOC Academics,Health and Wellbeing of BIPOC Academics
Improve and Report Demographic and/or Qualitative Data from BIPOC,Improve and Report Demographic and/or Qualitative Data from BIPOC Scholars
Legal/Policy/Advocacy Work for BIPOC,Legal/Policy/Advocacy Work for BIPOC Scholars
Organizational Commitment to Change,Organizational Commitment to Change
Personal Committment to Change (Training),Personal Commitment to Change (Cultural and Ethical - Professional Development Training)
Post Doctoral Fellows,Post Doctoral Fellows
Questions,Questions
Unsure,Unsure
Words vs. Action,Words vs. Action
